t,theta_true,omega_true,theta_hat,omega_hat,theta_meas,omega_meas,forcing_d,u,error,pid_integral,pid_derivative,K00,K01,K10,K11,P00,P01,P10,P11,Q00,Q01,Q10,Q11,R00,R01,R10,R11
19.18,10.41406839231026,0.04519646125947122,10.256683516604792,-0.541462880114249,10.419041508514896,0.07473716013981503,0.8981777717724582,-9.101262443554706,-0.2566835166047916,-6.718141233460247,0.016080390259265442,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.2,10.41497232153545,0.039499463161242046,10.252560934582842,-0.5431312969085687,10.35530245627843,0.02534224781434758,0.7755698783013186,-9.252815618989633,-0.2525609345828421,-6.7231924521519035,0.20612910109747418,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.22,10.415762310798675,0.04345349656979867,10.245868288450731,-0.5367062594400772,10.309749426815435,0.03651845125928116,0.8363268338231317,-8.836543595785376,-0.2458682884507315,-6.7281098179209184,0.3346323066055312,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.240000000000002,10.41663138073007,0.054148436503965273,10.247277040562363,-0.5273911179089343,10.433297323885316,0.006250446596937784,0.8505629529190103,-8.517528089217171,-0.24727704056236277,-6.733055358732166,-0.07043760558156364,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.26,10.41771434946015,0.05057166706976499,10.248530411553892,-0.5305565670156029,10.429316338657305,0.06338312357611711,0.9627125098745779,-9.346700975518921,-0.248530411553892,-6.738025966963244,-0.06266854957646117,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.28,10.418725782801545,0.04528854967995795,10.251271784386228,-0.5321108736951701,10.45582269499938,0.08443982973686141,0.8731420390062512,-9.348667181655086,-0.251271784386228,-6.743051402650969,-0.13706864161679988,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.3,10.419631553795144,0.03313664175077069,10.252226253433424,-0.5375960794804169,10.429879280709397,0.0686201509052804,0.7049186977748573,-9.52990652974685,-0.25222625343342386,-6.748095927719637,-0.04772345235979358,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.32,10.42029428663016,0.025330046352666256,10.249301035316295,-0.5418647392427163,10.369200591361686,0.030574090844119585,0.7518429843218081,-9.365805366773463,-0.24930103531629477,-6.753081948425963,0.14626090585645457,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.34,10.420800887557213,0.027571797514439927,10.24981366363117,-0.545608401287465,10.423686449995442,-0.0856206949383979,0.8375886496309148,-8.953570489876002,-0.2498136636311692,-6.758078221698587,-0.025631415743720964,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.36,10.421352323507502,0.02882932618506697,10.251197599993002,-0.5449034479306807,10.439565213809335,0.090488390214849,1.1398396890308082,-9.30747768949772,-0.2511975999930023,-6.763102173698447,-0.06919681809165468,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
