t,theta1,omega1,theta2,omega2,x_beam,v_beam,domega1,domega2,dv,sensor_theta1,sensor_omega1,sensor_theta2,sensor_omega2,sensor_x,sensor_v,forcing,error,pid_integral,pid_derivative
7.226113056528264,1.162177773689514,43.897725344364176,1.8381139329667016,39.999482247385956,-1.623809507949477,-0.9414521286092674,22.981651021157166,-48.89928393289037,3.5095608094455244,,,,,,,0.31114730385067774,,,
7.248624312156077,2.1503706903960613,42.83901653024656,2.738552502817811,39.021826041785985,-1.6450027774779497,-0.8278755132335361,-47.03019820935809,-43.429661222096584,5.045325647468594,,,,,,,-0.15398067513072466,,,
7.271135567783892,3.114730742352587,41.290981096035075,3.6169828039085408,37.601354011439824,-1.6636392947843575,-0.7224149544984556,-68.76717406641671,-63.10052419248822,4.684792375809465,,,,,,,-0.620769177697399,,,
7.293646823411706,4.044242572928664,39.05521447705366,4.4634364960119886,35.55236291997417,-1.6799017624944277,-0.6284250848236119,-99.31772158541877,-91.02073759644085,4.175238877333612,,,,,,,-1.0723705582300762,,,
7.3161580790395195,4.923424489620718,35.87574971002301,5.26376482587634,32.635253976426434,-1.6940484002218226,-0.5502389030714792,-141.23889042876152,-129.58446173670967,3.473203940500298,,,,,,,-1.503734419740372,,,
7.338669334667333,5.731032662182517,31.448990843409824,5.998425370618306,28.565738316985243,-1.7064349688252325,-0.4930075560148619,-196.64646609688342,-180.77692896050982,2.5423436170261766,,,,,,,-1.9078047607517439,,,
7.361180590295147,6.438988934295294,25.46703602381527,6.6414760080691995,23.055190464705163,-1.7175331879451268,-0.4619825352475818,-265.73172631932243,-244.7907812601752,1.378200366973175,,,,,,,-2.2749598520624024,,,
7.383691845922961,7.012283892310145,17.71716691597893,7.160477294168115,15.903414934061406,-1.7279329948916706,-0.4608575346227868,-344.26640770144115,-317.6977619057082,0.04997502775478324,,,,,,,-2.592571683758599,,,
7.406203101550775,7.411119565756394,8.246954704697277,7.518483133103964,7.152665781987023,-1.7383074766615683,-0.4890074551611837,-420.6878713411561,-388.7277234443709,-1.2504820256945663,,,,,,,-2.8450297564182243,,,
7.428714357178589,7.596768871264837,-2.45114046613525,7.679498620942591,-2.740091598482552,-1.7493156484886083,-0.5383879878944932,-475.23316103320496,-439.4582667457485,-2.1935929985307894,,,,,,,-3.0147982177775203,,,
7.451225612806403,7.541590621651988,-13.378535030750252,7.6178157185255255,-12.845958668426707,-1.7614354381110455,-0.5924763732250231,-485.41914965923087,-448.9250727292971,-2.402726272793984,,,,,,,-3.085152657851997,,,
7.473736868434217,7.240422999649105,-23.271669299187177,7.3286370591562395,-21.988961877758246,-1.7747728252021542,-0.6302490798210615,-439.475008946787,-406.1525203434166,-1.6779475663440166,,,,,,,-3.0447448232871523,,,
