t,r1x,r2x,r3x,v1x,v2x,v3x,a1x,a2x,a3x,r1y,r2y,r3y,v1y,v2y,v3y,a1y,a2y,a3y
44.69,-8.717302790064535,-10.657311510064552,-11.147335532585464,0.07607951219776865,0.07607951219776865,-0.5422831971977793,-0.3586656357420659,-0.057301586207642585,0.4159672219497085,-9.494773466586391,-9.008598406586403,-10.070738537113742,-0.5954571000971853,-0.5954571000971853,0.1630913700971348,0.021413686425581113,-0.6519622241142881,0.630548537688707
44.7,-8.716562793303655,-10.656571513303673,-11.152737566196343,0.07188871937682251,0.07188871937682251,-0.5380924043768331,-0.3583079645987671,-0.06388337763291002,0.4221913422316772,-9.500759565014247,-9.014584505014259,-10.069076095985887,-0.6017712788523255,-0.6017712788523255,0.169405548852275,0.02202187367595923,-0.6543090870194561,0.6322872133434969
44.71,-8.715865015676998,-10.655873735677016,-11.158097380673,0.06763494205355158,0.06763494205355158,-0.5338386270535622,-0.35795995130819147,-0.07060417112493911,0.4285641224331306,-9.506808892163438,-9.02063383216345,-10.067350426136697,-0.6081031530063008,-0.6081031530063008,0.17573742300625028,0.02262866981197087,-0.656716287266259,0.6340876174542881
44.72,-8.715210094462584,-10.655218814462602,-11.163414338737415,0.06331666469296948,0.06331666469296948,-0.5295203496929801,-0.35762148720549636,-0.07746986248480142,0.4350913496902978,-9.512921628074373,-9.026746568074385,-10.065561347525762,-0.6144533441621469,-0.6144533441621469,0.1820876141620964,0.0232342146799724,-0.6591848283989606,0.6359506137189883
44.730000000000004,-8.714598682383139,-10.654607402383157,-11.16868778766686,0.0589323125379515,0.0589323125379515,-0.5251359975379621,-0.3572924683113618,-0.08448661300155141,0.4417790813129132,-9.51909795904668,-9.032922899046692,-10.063708673853455,-0.6208224825931197,-0.6208224825931197,0.18845675259306915,0.02383864840459164,-0.6617157208836069,0.6378770724790153
44.74,-8.714031448211825,-10.654040168211843,-11.173917058688174,0.05448024882950264,0.05448024882950264,-0.5206839338295133,-0.3569727952882485,-0.09166086508813581,0.4486336603763843,-9.525338077726236,-9.039163017726247,-10.0617922124739,-0.6272112073012259,-0.6272112073012259,0.1948454773011754,0.024442111498109976,-0.6643099806325184,0.6398678691344085
44.75,-8.713509077406549,-10.653517797406566,-11.17910146634345,0.04995877186573239,0.04995877186573239,-0.516162456865743,-0.3566623734034529,-0.0989993589716025,0.4556617323750554,-9.531642183192705,-9.045467123192717,-10.059811764307431,-0.6336201660584351,-0.6336201660584351,0.20125443605847337,0.025044744972476798,-0.66696862728363,0.6419238823111533
44.76,-8.71303227277451,-10.653040992774528,-11.184240307825489,0.045366111888700544,0.045366111888700544,-0.5115697968887112,-0.3563611124990726,-0.10650915051968518,0.4628702630187578,-9.538010481047404,-9.051835421047416,-10.05776712375273,-0.6400500154287059,-0.6400500154287059,0.20768428542874418,0.025646690454206783,-0.669692682205341,0.6440459917511342
44.77,-8.712601755168775,-10.652610475168792,-11.189332862281224,0.0407004277873213,0.0407004277873213,-0.5069041127873319,-0.35606892696901293,-0.11419763029306457,0.47026655726207756,-9.54444318350128,-9.058268123501291,-10.055658078598857,-0.6465014207669206,-0.6465014207669206,0.21413569076695893,0.026248090302429788,-0.6724831661939503,0.6462350758915206
44.78,-8.712218264218764,-10.652226984218782,-11.194378390081235,0.03595980360273643,0.03595980360273643,-0.5021634886027471,-0.35578573574320166,-0.12207254392046801,0.47785827966366967,-9.550940509462743,-9.064765449462755,-10.053484409937392,-0.6529750561918846,-0.6529750561918846,0.22060932619192286,0.02684908773037548,-0.67534109682671,0.6484920090963345
44.79,-8.71188255909672,-10.651891279096738,-11.19937613205328,0.031142244823456622,0.031142244823456622,-0.49734592982346726,-0.35551146227919916,-0.13014201390245328,0.48565347618165244,-9.557502684625117,-9.071327624625129,-10.051245892075018,-0.6594716045299265,-0.6594716045299265,0.22710587452987596,0.02744982693059575,-0.6782674854289912,0.6508176584983955
