Time,StepCount,y_hat[1],y_hat[2],y_hat[3]
152,3800,0.147318,0.00335293,6.93112e-05
153,3825,0.136399,0.00319735,6.54325e-05
154,3850,0.121038,0.00311076,5.72722e-05
155,3875,0.106131,0.00287482,4.88533e-05
156,3900,0.0979567,0.00275349,4.26787e-05
157,3925,0.096061,0.00274763,3.7967e-05
158,3950,0.0959685,0.00250605,3.60198e-05
159,3975,0.0943994,0.00238829,3.26214e-05
160,4000,0.090065,0.00229329,2.74582e-05
161,4025,0.0844233,0.00204716,2.13191e-05
162,4050,0.0775433,0.00193681,1.36573e-05
163,4075,0.0718965,0.00171821,6.22926e-06
164,4100,0.0687172,0.00150841,3.93265e-07
165,4125,0.0647508,0.00146273,-5.39739e-06
166,4150,0.062055,0.00117837,-8.3359e-06
167,4175,0.061482,0.00101482,-1.06765e-05
168,4200,0.0585747,0.000923612,-1.24357e-05
169,4225,0.0526819,0.000708157,-1.24168e-05
170,4250,0.0441911,0.000604769,-1.41441e-05
171,4275,0.0319497,0.000459209,-1.99918e-05
172,4300,0.0173735,0.000186684,-2.66625e-05
173,4325,0.00480206,4.96346e-05,-3.0566e-05
174,4350,-0.00138262,-5.61209e-05,-3.18396e-05
175,4375,-0.00208089,-0.000131693,-3.28018e-05
176,4400,-0.00327919,-0.000246283,-3.33818e-05
177,4425,-0.008674,-0.000428158,-3.44152e-05
178,4450,-0.0162429,-0.000522378,-3.82302e-05
179,4475,-0.0233014,-0.000632524,-4.46574e-05
180,4500,-0.0280378,-0.000812922,-5.03864e-05
181,4525,-0.0320472,-0.000861448,-5.43927e-05
182,4550,-0.0352462,-0.00101453,-5.58519e-05
183,4575,-0.0352555,-0.00108354,-5.79234e-05
184,4600,-0.0334589,-0.001072,-6.15524e-05
185,4625,-0.0306681,-0.00132494,-6.22946e-05
186,4650,-0.0301811,-0.00135413,-6.18188e-05
187,4675,-0.0350685,-0.00131814,-6.42646e-05
188,4700,-0.0422795,-0.00157423,-6.98245e-05
189,4725,-0.0492893,-0.00162072,-7.46949e-05
190,4750,-0.0554386,-0.00167611,-7.62981e-05
191,4775,-0.0593826,-0.0018434,-7.58894e-05
192,4800,-0.060329,-0.00180498,-7.69426e-05
193,4825,-0.060031,-0.00187199,-7.58645e-05
194,4850,-0.0621193,-0.0019425,-7.52624e-05
195,4875,-0.0690801,-0.00195473,-8.00502e-05
196,4900,-0.0776393,-0.00216435,-8.87004e-05
197,4925,-0.0820185,-0.00224062,-9.53655e-05
198,4950,-0.0804464,-0.00218097,-9.88734e-05
199,4975,-0.0750932,-0.00230838,-0.000100074
200,5000,-0.0702274,-0.00233629,-0.000102393
201,5025,-0.0673755,-0.0023746,-0.00010439
202,5050,-0.0653386,-0.00243365,-0.000106217
203,5075,-0.063504,-0.00242971,-0.000110777
204,5100,-0.0597128,-0.00257917,-0.000116099
205,5125,-0.0567785,-0.00257983,-0.000120111
206,5150,-0.0572809,-0.00254899,-0.000123774
207,5175,-0.0554311,-0.00271567,-0.000125858
208,5200,-0.0511492,-0.00267891,-0.000127785
209,5225,-0.0476192,-0.002714,-0.000126714
210,5250,-0.0446823,-0.00275045,-0.000123266
211,5275,-0.0437339,-0.0026537,-0.000121441
212,5300,-0.0471753,-0.00270477,-0.000124086
213,5325,-0.0548122,-0.00278816,-0.000129801
214,5350,-0.0622874,-0.00280087,-0.00013356
215,5375,-0.0634556,-0.00281752,-0.000133931
216,5400,-0.0573423,-0.00269507,-0.000134274
217,5425,-0.0498839,-0.00268974,-0.00013231
218,5450,-0.0452106,-0.00273103,-0.000128951
219,5475,-0.0430676,-0.0025967,-0.000128139
220,5500,-0.0422899,-0.00259598,-0.000130693
221,5525,-0.0413849,-0.00262755,-0.000133958
222,5550,-0.0411827,-0.0025002,-0.000135615
223,5575,-0.0386051,-0.0025434,-0.000134275
224,5600,-0.0328,-0.00241104,-0.000133743
225,5625,-0.0260601,-0.00228319,-0.000132983
226,5650,-0.0183972,-0.00237323,-0.000128121
227,5675,-0.012563,-0.00218685,-0.000123242
228,5700,-0.0116113,-0.00206491,-0.000119769
229,5725,-0.0139186,-0.00210429,-0.000118047
230,5750,-0.0181535,-0.00195447,-0.000117356
231,5775,-0.0235067,-0.00191985,-0.000115663
232,5800,-0.027289,-0.00191129,-0.000112253
233,5825,-0.0268305,-0.00174233,-0.000108368
234,5850,-0.0224358,-0.00164801,-0.000102138
235,5875,-0.018674,-0.00152611,-9.59958e-05
236,5900,-0.0196079,-0.00142165,-9.32717e-05
237,5925,-0.0236886,-0.00143888,-9.44442e-05
238,5950,-0.0264822,-0.00134679,-9.60014e-05
239,5975,-0.0251135,-0.00122108,-9.52211e-05
240,6000,-0.0205183,-0.00116928,-9.27986e-05
241,6025,-0.0161755,-0.00105615,-9.03808e-05
242,6050,-0.0121639,-0.00100366,-8.67052e-05
243,6075,-0.00736067,-0.000833619,-8.41677e-05
244,6100,-0.00190642,-0.000752567,-8.3282e-05
245,6125,0.00431272,-0.000789208,-8.15385e-05
246,6150,0.00592884,-0.000560325,-7.97501e-05
247,6175,0.00349593,-0.000503515,-8.01854e-05
248,6200,0.00266504,-0.000544705,-8.06091e-05
249,6225,0.00321129,-0.000354305,-7.95924e-05
250,6250,0.00467048,-0.00034798,-7.46559e-05
251,6275,0.00737222,-0.000231261,-6.98599e-05
252,6300,0.00953236,-4.58258e-05,-6.59765e-05
253,6325,0.0081782,-2.65542e-05,-6.35443e-05
254,6350,0.00179148,6.15382e-05,-6.52989e-05
255,6375,-0.00668919,8.7533e-05,-6.92187e-05
256,6400,-0.0104329,7.29033e-05,-7.08156e-05
257,6425,-0.00688461,0.000288817,-7.11148e-05
258,6450,-0.000145117,0.000337383,-6.85188e-05
259,6475,0.00604951,0.000348361,-6.53408e-05
260,6500,0.00933892,0.00051942,-6.44013e-05
261,6525,0.0107315,0.000525487,-6.45944e-05
262,6550,0.0108525,0.000574364,-6.62127e-05
263,6575,0.0108587,0.000668791,-6.85585e-05
264,6600,0.0136125,0.000615724,-6.9163e-05
265,6625,0.0167904,0.000783627,-6.96391e-05
266,6650,0.0197402,0.00081648,-6.83948e-05
267,6675,0.0252767,0.000769726,-6.49949e-05
268,6700,0.0299886,0.000922571,-6.1967e-05
269,6725,0.0312053,0.000938243,-5.70876e-05
270,6750,0.0298581,0.000980096,-5.24704e-05
271,6775,0.0250263,0.00108395,-5.164e-05
272,6800,0.0168996,0.00101644,-5.33606e-05
273,6825,0.00891921,0.00099918,-5.32137e-05
274,6850,0.00593586,0.00107225,-5.01343e-05
275,6875,0.00937679,0.00114145,-4.59725e-05
276,6900,0.01443,0.00121651,-4.17945e-05
277,6925,0.0157102,0.00119208,-3.76044e-05
278,6950,0.0135129,0.00119769,-3.55887e-05
279,6975,0.0108686,0.00125459,-3.67199e-05
280,7000,0.0100007,0.00120546,-3.82915e-05
281,7025,0.0107008,0.00123571,-3.82843e-05
282,7050,0.0112337,0.00126394,-3.61525e-05
283,7075,0.0142167,0.00122799,-3.29675e-05
284,7100,0.0193132,0.00138462,-3.23306e-05
285,7125,0.0254935,0.00130969,-3.02342e-05
286,7150,0.0308053,0.00124963,-2.58237e-05
287,7175,0.0307984,0.00144604,-2.30661e-05
288,7200,0.0267729,0.0013534,-2.42589e-05
289,7225,0.0221805,0.0012885,-2.60555e-05
290,7250,0.0179527,0.0013915,-2.54735e-05
291,7275,0.0151204,0.00129369,-2.16146e-05
292,7300,0.0149044,0.00135968,-1.91517e-05
293,7325,0.0164828,0.00143166,-1.60705e-05
294,7350,0.0166958,0.00139895,-1.19801e-05
295,7375,0.0121362,0.00146386,-1.21249e-05
296,7400,0.00387273,0.00138283,-1.76526e-05
297,7425,-0.00216227,0.00126136,-2.29076e-05
298,7450,-0.00254508,0.00138258,-2.51881e-05
299,7475,0.00176559,0.00134851,-2.46594e-05
300,7500,0.00680786,0.00130177,-2.45143e-05
301,7525,0.00962571,0.00133093,-2.5382e-05
302,7550,0.0109727,0.00127436,-2.55539e-05
303,7575,0.0115507,0.00130026,-2.78639e-05
304,7600,0.0131246,0.00121327,-3.22785e-05
305,7625,0.015728,0.0011218,-3.56679e-05
306,7650,0.0146426,0.00120751,-3.86639e-05
307,7675,0.0135736,0.00106177,-4.04243e-05
308,7700,0.0158833,0.00100523,-4.17353e-05
309,7725,0.0180102,0.00101672,-4.1678e-05
310,7750,0.01924,0.000909604,-3.84299e-05
311,7775,0.0191878,0.000958774,-3.57279e-05
312,7800,0.0153674,0.000935996,-3.69088e-05
313,7825,0.00683886,0.000787742,-4.23177e-05
314,7850,-0.00352363,0.000715119,-4.74661e-05
315,7875,-0.00953182,0.000632467,-4.88876e-05
316,7900,-0.00770642,0.000649486,-4.95464e-05
317,7925,-0.00207926,0.00066071,-4.93924e-05
318,7950,0.0014129,0.000514074,-4.69052e-05
319,7975,0.00219059,0.000521998,-4.59708e-05
320,8000,0.000998208,0.000517467,-4.86416e-05
321,8025,-9.21067e-05,0.000354032,-5.32254e-05
322,8050,-0.00169469,0.000366935,-5.68393e-05
323,8075,-0.00232543,0.000290056,-5.76805e-05
324,8100,0.000696298,0.000214481,-5.76699e-05
325,8125,0.00548422,0.000318035,-5.93442e-05
326,8150,0.0111773,0.000142695,-5.73406e-05
327,8175,0.016511,0.000107587,-5.3833e-05
328,8200,0.017546,0.000210314,-5.17288e-05
329,8225,0.0144514,6.60179e-05,-5.15177e-05
330,8250,0.00929914,3.66463e-05,-5.26822e-05
331,8275,0.00266363,4.11256e-05,-5.36518e-05
332,8300,-0.00345971,-0.000106043,-5.2514e-05
333,8325,-0.00611672,-7.84231e-05,-5.10947e-05
334,8350,-0.004294,-6.37777e-05,-4.79549e-05
335,8375,-0.00120685,-8.02312e-05,-4.36757e-05
336,8400,-0.00190276,-5.77692e-05,-4.19492e-05
337,8425,-0.00689686,-0.000157649,-4.45768e-05
338,8450,-0.0121304,-0.000246457,-4.89887e-05
339,8475,-0.0137732,-0.000205142,-5.16086e-05
340,8500,-0.011292,-0.000263758,-5.18768e-05
341,8525,-0.00780676,-0.000274384,-5.20694e-05
342,8550,-0.00525181,-0.000316165,-5.14078e-05
343,8575,-0.00205205,-0.000314461,-5.06888e-05
344,8600,0.00153628,-0.000264849,-5.20753e-05
345,8625,0.00648368,-0.000423952,-5.35735e-05
346,8650,0.00907844,-0.000399471,-5.40993e-05
347,8675,0.00612791,-0.000325495,-5.64133e-05
348,8700,0.00324907,-0.000515149,-5.9547e-05
349,8725,0.00236041,-0.000479215,-6.1865e-05
350,8750,0.00228009,-0.000493899,-6.08203e-05
351,8775,0.00341218,-0.000568178,-5.78778e-05
352,8800,0.00485783,-0.000452176,-5.62755e-05
353,8825,0.00379397,-0.000484559,-5.54316e-05
354,8850,-0.00209471,-0.000533064,-5.80564e-05
355,8875,-0.0117393,-0.000540631,-6.41535e-05
356,8900,-0.0190563,-0.000674295,-6.89005e-05
357,8925,-0.0189419,-0.00060832,-7.17858e-05
358,8950,-0.0138304,-0.000540035,-7.265e-05
359,8975,-0.00816552,-0.000653792,-7.11117e-05
360,9000,-0.00478187,-0.000583367,-7.14346e-05
361,9025,-0.0039242,-0.000573526,-7.32828e-05
362,9050,-0.00420904,-0.000657231,-7.63404e-05
363,9075,-0.00544515,-0.000594648,-8.06007e-05
364,9100,-0.0046302,-0.000689844,-8.36948e-05
365,9125,-0.00176148,-0.000673539,-8.56953e-05
366,9150,0.0003555,-0.000586258,-8.73267e-05
367,9175,0.00448342,-0.000727189,-8.57952e-05
368,9200,0.00965034,-0.000670078,-8.42719e-05
369,9225,0.011608,-0.000631798,-8.16106e-05
370,9250,0.0107183,-0.000684111,-7.78691e-05
371,9275,0.00691947,-0.000613528,-7.67661e-05
372,9300,-0.00051184,-0.000651446,-7.92831e-05
373,9325,-0.0092184,-0.000759426,-8.12582e-05
374,9350,-0.0145663,-0.000724519,-8.03389e-05
375,9375,-0.0132741,-0.000690936,-7.73178e-05
376,9400,-0.00812379,-0.000628569,-7.41114e-05
377,9425,-0.00524707,-0.000635792,-7.06189e-05
378,9450,-0.00660951,-0.000677735,-6.84389e-05
379,9475,-0.00937971,-0.000636721,-6.93506e-05
380,9500,-0.0109794,-0.000650499,-7.18751e-05
381,9525,-0.0102452,-0.000683528,-7.30309e-05
382,9550,-0.00941745,-0.000615329,-7.24689e-05
383,9575,-0.00727758,-0.000672291,-6.96281e-05
384,9600,-0.00241907,-0.000563739,-6.85031e-05
385,9625,0.00372737,-0.000505999,-6.78591e-05
386,9650,0.0102599,-0.000643253,-6.43146e-05
387,9675,0.0129053,-0.000478651,-6.06615e-05
388,9700,0.0102676,-0.000418427,-6.06938e-05
389,9725,0.00617506,-0.000556311,-6.28508e-05
390,9750,0.00234747,-0.000434995,-6.35388e-05
391,9775,-0.000550735,-0.00044862,-6.05355e-05
392,9800,-0.00117742,-0.000451604,-5.7108e-05
393,9825,0.000543133,-0.000303226,-5.46175e-05
394,9850,0.00213402,-0.000299583,-5.00995e-05
395,9875,-7.0145e-05,-0.000234577,-4.78698e-05
396,9900,-0.00714669,-0.000192454,-5.15045e-05
397,9925,-0.0142077,-0.000322471,-5.71298e-05
398,9950,-0.0161733,-0.000224113,-6.00568e-05
399,9975,-0.0126887,-0.000125539,-5.99614e-05
400,10000,-0.0068482,-0.000172561,-5.85967e-05
401,10025,-0.00265464,-9.07185e-05,-5.88059e-05
402,10050,-0.000495465,-8.00471e-05,-5.83936e-05
403,10075,0.000691023,-4.18492e-05,-5.88504e-05
404,10100,0.00186581,-8.51972e-07,-6.212e-05
405,10125,0.00500606,-9.39829e-05,-6.526e-05
406,10150,0.00594808,1.95695e-05,-6.74372e-05
407,10175,0.00456341,3.02256e-05,-6.89425e-05
408,10200,0.00640296,-6.03122e-05,-6.91258e-05
409,10225,0.00944406,3.88795e-05,-6.91217e-05
410,10250,0.0113318,8.24525e-07,-6.57563e-05
411,10275,0.0123121,4.47396e-05,-6.12935e-05
412,10300,0.010434,0.000142041,-5.96224e-05
413,10325,0.00383839,7.02672e-05,-6.27437e-05
414,10350,-0.00609889,1.98901e-05,-6.74677e-05
415,10375,-0.0139885,7.81123e-06,-6.90239e-05
416,10400,-0.0145377,2.48563e-05,-6.82577e-05
417,10425,-0.00908404,0.00013729,-6.76382e-05
418,10450,-0.00417416,7.7534e-05,-6.44723e-05
419,10475,-0.00226651,6.47059e-05,-6.13187e-05
420,10500,-0.00265413,0.000167744,-6.14308e-05
421,10525,-0.00361995,8.56156e-05,-6.45441e-05
422,10550,-0.00449858,7.47145e-05,-6.74958e-05
423,10575,-0.00562809,0.000133427,-6.82672e-05
424,10600,-0.00358731,4.35725e-05,-6.66096e-05
425,10625,0.00122667,0.000188173,-6.68864e-05
426,10650,0.00692092,0.000173375,-6.54016e-05
427,10675,0.013201,6.90903e-05,-6.06355e-05
428,10700,0.0163979,0.000242345,-5.67526e-05
429,10725,0.014785,0.000227556,-5.47728e-05
430,10750,0.0105767,0.00015837,-5.45583e-05
431,10775,0.00473089,0.000255037,-5.47703e-05
432,10800,-0.00150013,0.000176315,-5.31266e-05
433,10825,-0.0052683,0.000175601,-5.05368e-05
434,10850,-0.00460891,0.00027123,-4.72559e-05
435,10875,-0.0011306,0.000284486,-4.19049e-05
436,10900,0.00011892,0.000348262,-3.78896e-05
437,10925,-0.00350415,0.000344608,-3.81275e-05
438,10950,-0.0090185,0.000247289,-4.15824e-05
439,10975,-0.0120071,0.000304703,-4.41706e-05
440,11000,-0.0105084,0.000323383,-4.41379e-05
441,11025,-0.00659723,0.000311009,-4.32509e-05
442,11050,-0.0035322,0.000334473,-4.231e-05
443,11075,-0.000490504,0.000319016,-4.04231e-05
444,11100,0.00303516,0.000420866,-4.03038e-05
445,11125,0.00753179,0.00035559,-4.14663e-05
446,11150,0.0119178,0.000288638,-4.15886e-05
447,11175,0.0108576,0.000445861,-4.24065e-05
448,11200,0.00745802,0.000338671,-4.48866e-05
