Time,StepCount,q[1],q[2],q[3]
211,5275,-0.0907961,-0.002784,-0.000246734
212,5300,-0.0941513,-0.0028732,-0.00024608
213,5325,-0.109297,-0.00295443,-0.000258779
214,5350,-0.125141,-0.00308286,-0.000274135
215,5375,-0.124171,-0.00311758,-0.000287014
216,5400,-0.100539,-0.00285949,-0.00029666
217,5425,-0.0655755,-0.00291003,-0.000294242
218,5450,-0.0313186,-0.0028303,-0.000284868
219,5475,-0.00791847,-0.00255861,-0.00027746
220,5500,0.00165019,-0.00266881,-0.000277573
221,5525,-0.00315873,-0.00262736,-0.000282618
222,5550,-0.0198542,-0.00253782,-0.000286932
223,5575,-0.0361603,-0.00272686,-0.000284682
224,5600,-0.0468285,-0.00237631,-0.000283054
225,5625,-0.0499913,-0.00238086,-0.000273907
226,5650,-0.0443259,-0.00249215,-0.000254751
227,5675,-0.0394923,-0.00210642,-0.000232825
228,5700,-0.0432286,-0.00209378,-0.000212623
229,5725,-0.0555704,-0.00211383,-0.000199096
230,5750,-0.0756821,-0.00189871,-0.000193028
231,5775,-0.0979668,-0.00207919,-0.000188665
232,5800,-0.111715,-0.00206017,-0.000184373
233,5825,-0.106863,-0.0018864,-0.000176903
234,5850,-0.0827783,-0.00176211,-0.000161806
235,5875,-0.0523499,-0.00148015,-0.000145455
236,5900,-0.0299717,-0.00136105,-0.000137087
237,5925,-0.0195348,-0.00146505,-0.00014085
238,5950,-0.0156828,-0.00132904,-0.00015089
239,5975,-0.0108139,-0.00130409,-0.000159327
240,6000,-0.00374695,-0.00123992,-0.000163787
241,6025,0.00100061,-0.00113598,-0.000162164
242,6050,0.00453732,-0.00108142,-0.000152649
243,6075,0.0062083,-0.00073014,-0.000142748
244,6100,0.00827281,-0.000759922,-0.000133699
245,6125,0.00849204,-0.000766645,-0.000123004
246,6150,-0.00491243,-0.00037072,-0.000115251
247,6175,-0.0267554,-0.0005351,-0.000113322
248,6200,-0.0472265,-0.00052796,-0.000113873
249,6225,-0.0620426,-0.000359953,-0.000111742
250,6250,-0.0658529,-0.000510696,-0.000100068
251,6275,-0.0573016,-0.000199475,-8.64208e-05
252,6300,-0.0426376,2.24801e-05,-7.0728e-05
253,6325,-0.0327498,8.34141e-05,-6.12297e-05
254,6350,-0.035949,0.000258198,-6.63948e-05
255,6375,-0.0470888,8.01274e-05,-8.17154e-05
256,6400,-0.0495449,3.74161e-05,-9.84531e-05
257,6425,-0.0346896,0.000338111,-0.000112832
258,6450,-0.00658957,0.000254227,-0.000114929
259,6475,0.024715,0.000398513,-0.000110991
260,6500,0.0473545,0.000646442,-0.000105042
261,6525,0.0569158,0.000571076,-0.000100081
262,6550,0.0503017,0.000748994,-0.000100213
263,6575,0.0340169,0.000721156,-0.000103407
264,6600,0.0171981,0.000614713,-0.000104693
265,6625,-0.000743822,0.000925742,-0.000106172
266,6650,-0.0125223,0.000767439,-9.942e-05
267,6675,-0.0130384,0.00079582,-8.73502e-05
268,6700,-0.0101164,0.000997317,-7.11436e-05
269,6725,-0.00834378,0.000954855,-4.87888e-05
270,6750,-0.0112987,0.00113582,-2.85118e-05
271,6775,-0.0242236,0.0012506,-2.01286e-05
272,6800,-0.0458077,0.00103209,-2.22716e-05
273,6825,-0.0658308,0.000988613,-2.68175e-05
